model	args_model	args_model_md5	args_model_url
Tfbs/Cmyc/Nb4/Sydh_Std	model_files/wgEncodeSydhTfbsNb4CmycStdAlnRep0_train_gS_11_3_1.model.txt	d1d65a73e19c6d1e4fc9b40287d5eb54	https://zenodo.org/record/1466097/files/wgEncodeSydhTfbsNb4CmycStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/A549/Haib_Pcr1x_Dexa	model_files/wgEncodeHaibTfbsA549CtcfPcr1xDexaAlnRep0_train_gS_11_3_1.model.txt	c9d28ccf701b4497b40626fc421d65f5	https://zenodo.org/record/1466097/files/wgEncodeHaibTfbsA549CtcfPcr1xDexaAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/A549/Haib_Pcr1x_Etoh02	model_files/wgEncodeHaibTfbsA549CtcfPcr1xEtoh02AlnRep0_train_gS_11_3_1.model.txt	bbd9c7a16b204295fec7fe9771c1330b	https://zenodo.org/record/1466097/files/wgEncodeHaibTfbsA549CtcfPcr1xEtoh02AlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Ag04449/Uw_Std	model_files/wgEncodeUwTfbsAg04449CtcfStdAlnRep0_train_gS_11_3_1.model.txt	307a09734e2790783e21ac854c55a1bb	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsAg04449CtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Ag04450/Uw_Std	model_files/wgEncodeUwTfbsAg04450CtcfStdAlnRep1_train_gS_11_3_1.model.txt	91af4503a9ef5660613e56ed3bfba9c2	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsAg04450CtcfStdAlnRep1_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Ag09309/Uw_Std	model_files/wgEncodeUwTfbsAg09309CtcfStdAlnRep0_train_gS_11_3_1.model.txt	a7f0fb6788eb96ed8d8e107d84986555	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsAg09309CtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Ag09319/Uw_Std	model_files/wgEncodeUwTfbsAg09319CtcfStdAlnRep0_train_gS_11_3_1.model.txt	7a1196cce277e7f3300ff831d31c2525	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsAg09319CtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Ag10803/Uw_Std	model_files/wgEncodeUwTfbsAg10803CtcfStdAlnRep0_train_gS_11_3_1.model.txt	3c3ed5497bb7b8477f93c21fa0ec3393	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsAg10803CtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Aoaf/Uw_Std	model_files/wgEncodeUwTfbsAoafCtcfStdAlnRep0_train_gS_11_3_1.model.txt	8fc3166b823aba6c5bdb324c61ed3fb6	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsAoafCtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Bj/Uw_Std	model_files/wgEncodeUwTfbsBjCtcfStdAlnRep0_train_gS_11_3_1.model.txt	34d548d651c702a1e0110d27dc35e0b3	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsBjCtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Caco2/Uw_Std	model_files/wgEncodeUwTfbsCaco2CtcfStdAlnRep0_train_gS_11_3_1.model.txt	98b3c591066ca1074a971c1cae39add9	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsCaco2CtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Gm06990/Uw_Std	model_files/wgEncodeUwTfbsGm06990CtcfStdAlnRep0_train_gS_11_3_1.model.txt	ff7240c8aaddc6dc848431e85d47f588	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsGm06990CtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Gm12864/Uw_Std	model_files/wgEncodeUwTfbsGm12864CtcfStdAlnRep0_train_gS_11_3_1.model.txt	b4bc95a0166615753c9d1d7d7c1daace	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsGm12864CtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Gm12865/Uw_Std	model_files/wgEncodeUwTfbsGm12865CtcfStdAlnRep0_train_gS_11_3_1.model.txt	21a0ebcd9ac9d98ee96f4a6ddd1d7a0c	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsGm12865CtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Gm12872/Uw_Std	model_files/wgEncodeUwTfbsGm12872CtcfStdAlnRep0_train_gS_11_3_1.model.txt	acc244df30cd6a20d608553201955710	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsGm12872CtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Gm12873/Uw_Std	model_files/wgEncodeUwTfbsGm12873CtcfStdAlnRep0_train_gS_11_3_1.model.txt	4e4f0d8904efacfd9a7e1e3e812dae57	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsGm12873CtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Gm12874/Uw_Std	model_files/wgEncodeUwTfbsGm12874CtcfStdAlnRep0_train_gS_11_3_1.model.txt	471a20992821f1c2956a7acc334d44cf	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsGm12874CtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Gm12875/Uw_Std	model_files/wgEncodeUwTfbsGm12875CtcfStdAlnRep0_train_gS_11_3_1.model.txt	f1bb572e4658c8e2cb973cc47abff103	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsGm12875CtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Gm12878/Uw_Std	model_files/wgEncodeUwTfbsGm12878CtcfStdAlnRep0_train_gS_11_3_1.model.txt	45df4d16894058f99814e4e97564ce14	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsGm12878CtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Hasp/Uw_Std	model_files/wgEncodeUwTfbsHaspCtcfStdAlnRep1_train_gS_11_3_1.model.txt	283bb16f0d745a5da4f0ac3627c11374	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsHaspCtcfStdAlnRep1_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Hbmec/Uw_Std	model_files/wgEncodeUwTfbsHbmecCtcfStdAlnRep0_train_gS_11_3_1.model.txt	ef29b94c415e8bff0e09036849a729ca	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsHbmecCtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Hcfaa/Uw_Std	model_files/wgEncodeUwTfbsHcfaaCtcfStdAlnRep1_train_gS_11_3_1.model.txt	d0bcb2a2e49a210c1a0e9994e2528b89	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsHcfaaCtcfStdAlnRep1_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Hcpe/Uw_Std	model_files/wgEncodeUwTfbsHcpeCtcfStdAlnRep0_train_gS_11_3_1.model.txt	44e3d0b30d0508d59278faacc2533099	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsHcpeCtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Hee/Uw_Std	model_files/wgEncodeUwTfbsHeeCtcfStdAlnRep0_train_gS_11_3_1.model.txt	080e67e07443c21db49a7acae204fd96	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsHeeCtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Hek293/Uw_Std	model_files/wgEncodeUwTfbsHek293CtcfStdAlnRep0_train_gS_11_3_1.model.txt	393f79d864859ee57c3d19f8085d2b58	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsHek293CtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Helas3/Uw_Std	model_files/wgEncodeUwTfbsHelas3CtcfStdAlnRep0_train_gS_11_3_1.model.txt	6a9c653aabef402fe32fbacd7c2f5b2c	https://zenodo.org/record/1466097/files/wgEncodeUwTfbsHelas3CtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Tfbs/Ctcf/Hepg2/Haib_V0416101	model_files/wgEncodeHaibTfbsHepg2CtcfV0416101AlnRep0_train_gS_11_3_1.model.txt	8492ab7e38661ec24cc47aa3fa1a4d4c	https://zenodo.org/record/1466097/files/wgEncodeHaibTfbsHepg2CtcfV0416101AlnRep0_train_gS_11_3_1.model.txt?download=1
